id,blood_bank_id,blood_group,component_type,units_available,reserved_units,last_updated
338,43,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934452Z
339,43,B+,WHOLE_BLOOD,68,2,2026-09-18T11:35:44.934456Z
340,43,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934460Z
341,43,AB+,WHOLE_BLOOD,24,1,2026-09-18T11:35:44.934464Z
342,43,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934467Z
343,43,O+,WHOLE_BLOOD,64,4,2026-09-18T11:35:44.934471Z
344,43,O-,WHOLE_BLOOD,3,1,2026-09-18T11:35:44.934475Z
345,44,A+,WHOLE_BLOOD,149,4,2026-09-18T11:35:44.934483Z
346,44,A-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.934487Z
347,44,B+,WHOLE_BLOOD,92,2,2026-09-18T11:35:44.934493Z
348,44,B-,WHOLE_BLOOD,6,4,2026-09-18T11:35:44.934497Z
349,44,AB+,WHOLE_BLOOD,50,3,2026-09-18T11:35:44.934501Z
350,44,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934504Z
351,44,O+,WHOLE_BLOOD,163,2,2026-09-18T11:35:44.934508Z
352,44,O-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.934512Z
353,45,A+,WHOLE_BLOOD,76,1,2026-09-18T11:35:44.934520Z
354,45,A-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.934525Z
355,45,B+,WHOLE_BLOOD,35,3,2026-09-18T11:35:44.934529Z
356,45,B-,WHOLE_BLOOD,4,3,2026-09-18T11:35:44.934534Z
357,45,AB+,WHOLE_BLOOD,18,1,2026-09-18T11:35:44.934538Z
358,45,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934542Z
359,45,O+,WHOLE_BLOOD,54,4,2026-09-18T11:35:44.934546Z
360,45,O-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.934549Z
361,46,A+,WHOLE_BLOOD,60,3,2026-09-18T11:35:44.934560Z
362,46,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934564Z
363,46,B+,WHOLE_BLOOD,26,2,2026-09-18T11:35:44.934568Z
364,46,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934572Z
365,46,AB+,WHOLE_BLOOD,17,2,2026-09-18T11:35:44.934576Z
366,46,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934580Z
367,46,O+,WHOLE_BLOOD,128,3,2026-09-18T11:35:44.934586Z
368,46,O-,WHOLE_BLOOD,4,0,2026-09-18T11:35:44.934590Z
369,47,A+,WHOLE_BLOOD,93,3,2026-09-18T11:35:44.934598Z
370,47,A-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.934602Z
371,47,B+,WHOLE_BLOOD,92,2,2026-09-18T11:35:44.934606Z
372,47,B-,WHOLE_BLOOD,4,0,2026-09-18T11:35:44.934610Z
373,47,AB+,WHOLE_BLOOD,16,0,2026-09-18T11:35:44.934614Z
374,47,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934621Z
375,47,O+,WHOLE_BLOOD,105,1,2026-09-18T11:35:44.934625Z
376,47,O-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.934628Z
377,48,A+,WHOLE_BLOOD,212,4,2026-09-18T11:35:44.934636Z
378,48,A-,WHOLE_BLOOD,5,3,2026-09-18T11:35:44.934640Z
379,48,B+,WHOLE_BLOOD,320,1,2026-09-18T11:35:44.934644Z
380,48,B-,WHOLE_BLOOD,4,2,2026-09-18T11:35:44.934648Z
381,48,AB+,WHOLE_BLOOD,41,0,2026-09-18T11:35:44.934652Z
382,48,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934656Z
383,48,O+,WHOLE_BLOOD,366,4,2026-09-18T11:35:44.934660Z
384,48,O-,WHOLE_BLOOD,4,3,2026-09-18T11:35:44.934664Z
385,49,A+,WHOLE_BLOOD,140,3,2026-09-18T11:35:44.934675Z
386,49,A-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.934679Z
387,49,B+,WHOLE_BLOOD,275,3,2026-09-18T11:35:44.934683Z
388,49,B-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.934687Z
389,49,AB+,WHOLE_BLOOD,38,4,2026-09-18T11:35:44.934691Z
390,49,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.934695Z
391,49,O+,WHOLE_BLOOD,58,3,2026-09-18T11:35:44.934699Z
392,49,O-,WHOLE_BLOOD,4,4,2026-09-18T11:35:44.934703Z
393,50,A+,WHOLE_BLOOD,162,2,2026-09-18T11:35:44.934711Z
394,50,A-,WHOLE_BLOOD,4,1,2026-09-18T11:35:44.934715Z
395,50,B+,WHOLE_BLOOD,185,2,2026-09-18T11:35:44.934719Z
396,50,B-,WHOLE_BLOOD,3,1,2026-09-18T11:35:44.934723Z
397,50,AB+,WHOLE_BLOOD,40,1,2026-09-18T11:35:44.934727Z
398,50,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.934731Z
399,50,O+,WHOLE_BLOOD,135,3,2026-09-18T11:35:44.934735Z
400,50,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.934739Z
